"No","規制条件","路線名","危険内容","迂回路","備考","地先名","経度","緯度","分類"
"1","通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 １６８号","落石、冠水の恐れ","","","新宮市南磐盾～新宮市熊野川町・田辺市境界","135.980131404171","33.7193649854321","異常気象時通行規制箇所"
"2","通行止め：連続雨量180mm以上、時間雨量50mm以上","国道 １６８号","落石、冠水の恐れ","","","新宮市熊野川町・田辺市境界～田辺市本宮町土河屋（県境）","135.809782405186","33.8320184596383","異常気象時通行規制箇所"
"3","通行止め：連続雨量180mm以上、時間雨量50mm以上","国道 １６９号","落石、冠水の恐れ","","","新宮市熊野川町宮井～新宮市熊野川町九重（県境）","135.853088614429","33.8334292952882","異常気象時通行規制箇所"
"4","通行止め：連続雨量180mm以上、時間雨量50mm以上","国道 １６９号","落石、冠水の恐れ","","","新宮市熊野川町玉置口(県境）～新宮市熊野川町田戸（県境）","135.872365188451","33.8867037650468","異常気象時通行規制箇所"
"5","通行止め：連続雨量180mm以上、時間雨量50mm以上","国道 １６９号","落石、冠水の恐れ","","","東牟婁郡北山村下尾井～東牟婁郡北山村小松","135.942847306765","33.9405893449136","異常気象時通行規制箇所"
"6","通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 ３１１号","落石、崩土の恐れ","","区域外に情報板A型2基B型1基","田辺市鮎川～田辺市中辺路町栗栖川","135.487423599361","33.7313823977887","異常気象時通行規制箇所"
"7","通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 ３１１号","落石、崩土の恐れ","","","田辺市中辺路町栗栖川～田辺市中辺路町・本宮町境界","135.516339148949","33.7912063418177","異常気象時通行規制箇所"
"8","通行止め：連続雨量160mm以上、時間雨量50mm以上","国道 ３１１号","落石の恐れ","","","田辺市中辺路町・本宮町境界～田辺市本宮町皆地","135.671994661439","33.821876444252","異常気象時通行規制箇所"
"9","通行止め：連続雨量200mm以上、時間雨量50mm以上","国道 ３１１号","落石の恐れ","","","田辺市本宮町皆地～田辺市本宮町本宮","135.73063006883","33.8071594343895","異常気象時通行規制箇所"
"10","通行止め：連続雨量120mm以上、時間雨量30mm以上","国道 ３７０号","落石、崩土の恐れ","","","伊都郡九度山町下古沢～伊都郡高野町矢立","135.543961406866","34.2567345709956","異常気象時通行規制箇所"
